,cluster,region,pseudotime,seurat_clusters
aaamobki-1,1,mid,0.4035,0
aaclkaod-1,1,mid,0.3969,1
bhakoonb-1,1,mid,0.4145,2
bpefijoo-1,1,mid,0.3881,3
ckfandjp-1,1,mid,0.4027,4
dgcpicgh-1,1,mid,0.4054,5
djgiipfb-1,1,mid,0.4114,6
dkcgpkmh-1,1,mid,0.3911,7
egeelggc-1,1,mid,0.3986,8
ehjojgpl-1,1,mid,0.4064,9
fkhfgimb-1,1,mid,0.4293,10
gackndbe-1,1,mid,0.4185,11
ghfdfbpc-1,1,mid,0.4345,0
gjklkjjk-1,1,mid,0.424,1
gpihhicj-1,1,mid,0.4417,2
hakcibka-1,0,crypt,0.0452,3
hbpoaeic-1,0,crypt,0.0341,4
hhmlkgel-1,0,crypt,0.0079,5
hkhcepfl-1,0,crypt,0.0,6
ibclpflk-1,0,crypt,0.043,7
ifjkhhkf-1,3,villus,0.9792,8
jdchjdgi-1,3,villus,0.976,9
jedneilm-1,3,villus,0.999,10
jpbefbck-1,4,villus,1.0,11
kecdfjaf-1,3,villus,0.9832,0
kfefndgm-1,3,villus,0.9705,1
kggmilif-1,3,villus,0.9673,2
kkonlcio-1,3,villus,0.9596,3
koaolmni-1,0,crypt,0.0416,4
lfenejfi-1,0,crypt,0.0441,5
niehkpen-1,0,crypt,0.0238,6
ohmibdle-1,0,crypt,0.0337,7
oinmeidp-1,0,crypt,0.0293,8
ojeggnjp-1,3,villus,0.9824,9
olbjkpjc-1,3,villus,0.9555,10
omjmdimk-1,3,villus,0.9666,11
