,interaction_class,confidence,reviewed
aaclkaod-1|aaamobki-1,heterotypic,0.594,no
dgcpicgh-1|ehjojgpl-1,heterotypic,0.791,no
egeelggc-1|ckfandjp-1,homotypic,0.722,no
fkhfgimb-1|gpihhicj-1,heterotypic,0.435,yes
gackndbe-1|egeelggc-1,heterotypic,0.422,no
hhmlkgel-1|hkhcepfl-1,heterotypic,0.442,no
jpbefbck-1|kecdfjaf-1,heterotypic,0.655,yes
lfenejfi-1|oinmeidp-1,homotypic,0.474,no
omjmdimk-1|jdchjdgi-1,homotypic,0.776,yes
omjmdimk-1|ojeggnjp-1,heterotypic,0.746,no
kkonlcio-1|kkonlcio-1,homotypic,0.986,no
ckfandjp-1|aaclkaod-1,heterotypic,0.915,no
egeelggc-1|dkcgpkmh-1,heterotypic,0.487,no
hkhcepfl-1|niehkpen-1,heterotypic,0.585,yes
jpbefbck-1|jdchjdgi-1,homotypic,0.508,yes
kecdfjaf-1|jedneilm-1,heterotypic,0.783,no
kecdfjaf-1|jpbefbck-1,heterotypic,0.729,no
kfefndgm-1|jdchjdgi-1,heterotypic,0.436,no
kfefndgm-1|kggmilif-1,heterotypic,0.808,no
kfefndgm-1|kkonlcio-1,homotypic,0.588,yes
koaolmni-1|hbpoaeic-1,heterotypic,0.672,no
lfenejfi-1|niehkpen-1,homotypic,0.877,yes
oinmeidp-1|koaolmni-1,heterotypic,0.546,yes
omjmdimk-1|kfefndgm-1,heterotypic,0.715,yes
omjmdimk-1|olbjkpjc-1,heterotypic,0.838,no
kggmilif-1|kggmilif-1,homotypic,0.988,no
aaamobki-1|ckfandjp-1,homotypic,0.651,yes
bhakoonb-1|gackndbe-1,heterotypic,0.491,no
bhakoonb-1|gjklkjjk-1,heterotypic,0.424,yes
bpefijoo-1|aaclkaod-1,heterotypic,0.859,yes
bpefijoo-1|bhakoonb-1,heterotypic,0.925,no
ckfandjp-1|egeelggc-1,homotypic,0.817,yes
dgcpicgh-1|ckfandjp-1,heterotypic,0.748,no
dgcpicgh-1|egeelggc-1,heterotypic,0.904,yes
egeelggc-1|gackndbe-1,heterotypic,0.684,yes
fkhfgimb-1|gjklkjjk-1,heterotypic,0.436,yes
gackndbe-1|ehjojgpl-1,heterotypic,0.788,yes
ghfdfbpc-1|ehjojgpl-1,heterotypic,0.893,no
gjklkjjk-1|ckfandjp-1,heterotypic,0.631,yes
hakcibka-1|hhmlkgel-1,heterotypic,0.414,no
hakcibka-1|ohmibdle-1,heterotypic,0.501,no
ibclpflk-1|ohmibdle-1,heterotypic,0.435,yes
ifjkhhkf-1|kggmilif-1,heterotypic,0.478,no
jedneilm-1|kggmilif-1,heterotypic,0.635,yes
kfefndgm-1|kecdfjaf-1,heterotypic,0.448,no
kggmilif-1|kecdfjaf-1,heterotypic,0.73,yes
kggmilif-1|olbjkpjc-1,heterotypic,0.892,yes
niehkpen-1|hbpoaeic-1,heterotypic,0.567,no
niehkpen-1|oinmeidp-1,homotypic,0.615,yes
oinmeidp-1|hbpoaeic-1,heterotypic,0.975,no
dgcpicgh-1|gackndbe-1,heterotypic,0.506,no
egeelggc-1|ehjojgpl-1,homotypic,0.54,no
gjklkjjk-1|ghfdfbpc-1,heterotypic,0.753,no
