label,area,center_x,center_y
1,15.1582,8.35341,7.72308
2,18.5343,16.04740,7.07465
3,10.6969,24.00542,8.37619
4,18.2128,31.25892,7.59502
5,14.2797,39.46094,8.44522
6,9.9102,46.51527,7.94074
7,14.6529,8.45438,15.92380
8,17.2597,15.40247,16.56157
9,13.5275,24.03786,15.10170
10,10.5878,30.49408,15.02580
11,14.6070,39.65074,16.55557
12,10.9897,46.78469,15.61885
13,12.8328,7.14189,23.46848
14,14.2682,15.99557,23.39596
15,16.6855,23.89091,23.16122
16,13.0337,31.92555,23.30252
17,13.0510,39.53361,22.83651
18,16.6568,46.10165,24.05393
19,15.2903,8.22401,31.88034
20,11.3514,15.80543,30.67466
21,14.3027,23.83097,31.29787
22,15.0089,31.85075,31.60567
23,9.0547,39.30169,30.98345
24,12.4194,46.90933,30.81534
25,10.5648,8.50286,38.68981
26,18.4827,15.26488,38.80203
27,14.4175,23.62147,39.72436
28,11.3457,31.17615,39.78102
29,15.1639,38.29247,38.41913
30,13.1199,46.95666,38.55312
31,15.1295,7.18401,47.39768
32,18.5516,15.45231,46.65499
33,11.0816,23.25424,46.25268
34,16.1228,32.22114,47.79697
35,18.6434,38.74988,47.91095
36,12.8845,47.43637,46.93311
