,Tgfb1,Tgfbr1,Tgfbr2,Wnt5a,Fzd1,Ror2,Cxcl12,Cxcr4,Vegfa,Kdr,Flt1,Pdgfb,Pdgfrb,Hgf,Met,Il6,Il6ra,Efnb1,Ephb2,Spp1,Cd44,Ccl2,Ccr2,Bmp4,Bmpr2,Fgf2,Fgfr1,Egf,Egfr,Jag1,Dll4,Notch1,Apoe,Lrp1,Thbs1,Cd47
1,5,5,2,1,7,4,8,3,1,3,4,2,10,8,7,2,7,4,6,5,11,6,7,7,6,2,2,6,1,9,15,4,7,7,4,4
2,4,4,4,3,6,1,5,6,2,1,5,1,11,7,5,2,7,1,3,2,10,1,6,1,8,4,3,10,5,4,14,2,9,9,5,1
3,1,5,5,3,6,1,11,1,3,8,4,2,12,7,8,1,12,5,12,1,8,7,10,0,4,6,11,6,5,7,6,6,11,10,2,1
4,6,5,6,5,9,3,9,1,10,4,12,4,18,6,10,1,8,5,18,3,15,3,8,5,9,2,9,5,4,4,18,3,13,5,8,2
5,13,12,4,6,12,4,14,5,2,6,6,2,14,6,12,0,11,0,11,3,15,4,16,4,5,3,7,3,9,6,19,3,14,4,4,1
6,7,4,6,2,11,5,24,2,10,5,11,4,18,9,18,3,11,3,14,10,10,4,14,2,13,4,13,7,5,5,17,3,12,4,4,2
7,1,6,3,9,2,2,7,4,4,5,2,5,10,18,4,4,7,5,7,6,6,3,3,2,3,6,2,11,4,8,3,5,7,9,2,2
8,5,7,5,8,3,5,7,1,1,6,3,2,9,10,3,1,5,5,7,3,7,4,8,0,5,7,5,1,5,6,7,3,9,9,9,4
9,9,6,7,5,3,1,10,2,6,8,7,3,6,9,7,3,4,4,7,7,8,3,6,5,5,3,5,10,5,10,10,7,10,6,5,3
10,6,9,4,3,5,6,17,4,6,2,9,4,9,8,13,3,1,0,10,3,14,7,8,1,8,4,11,7,4,3,9,3,11,8,2,1
11,12,9,8,3,12,3,19,2,10,7,4,4,17,9,11,0,10,2,21,5,16,9,9,5,7,7,5,3,2,8,5,5,11,10,5,3
12,4,8,5,3,9,6,18,7,5,7,7,1,23,10,14,6,17,4,18,2,10,1,23,3,12,4,11,5,8,11,20,3,8,3,9,3
13,5,6,5,1,3,5,12,3,6,7,5,3,7,16,4,1,5,4,7,10,3,8,2,2,6,1,2,11,4,2,10,6,7,13,5,5
14,4,14,2,3,6,6,9,2,4,9,5,3,9,14,9,5,6,3,7,7,4,6,6,1,4,6,1,5,8,10,14,4,10,10,2,3
15,4,10,9,6,4,1,12,2,5,10,3,14,6,7,11,1,8,3,17,10,15,8,6,5,5,4,5,10,5,13,14,6,13,12,1,6
16,6,8,6,4,9,3,16,3,5,5,10,12,9,11,16,5,5,6,16,12,7,4,10,4,3,4,8,7,6,6,15,6,15,15,5,3
17,8,9,13,8,12,5,15,1,7,6,16,6,11,13,19,1,5,5,22,12,22,6,14,3,5,5,10,5,8,8,13,4,12,10,9,2
18,12,10,9,3,7,5,16,4,10,11,5,4,13,15,13,6,18,6,15,13,18,4,11,0,13,3,12,9,9,7,15,3,13,11,6,3
19,5,9,5,9,4,12,6,5,4,6,5,4,4,13,1,5,8,7,10,12,2,8,5,5,3,4,7,14,4,10,5,2,5,11,5,3
20,8,10,2,3,4,5,12,4,0,12,13,6,6,18,4,5,10,6,11,13,8,7,5,2,12,5,7,10,3,9,9,7,10,13,1,2
21,6,8,4,5,7,6,14,6,9,7,6,5,11,8,11,5,4,8,16,8,7,7,10,2,8,4,10,5,5,4,12,4,10,16,5,4
22,10,9,5,8,10,10,9,3,9,9,6,8,11,17,15,1,9,7,16,10,11,10,8,5,12,7,5,9,8,13,16,6,13,11,2,2
23,9,6,9,7,10,8,13,3,7,6,5,7,15,14,20,3,11,10,14,9,14,9,13,5,10,6,7,7,7,8,11,6,14,13,11,2
24,13,9,9,8,4,8,14,3,7,8,11,9,13,16,13,4,7,6,14,9,22,3,13,4,11,5,10,12,6,17,16,10,21,10,7,3
25,6,9,4,9,5,7,9,9,5,10,5,3,6,7,6,3,3,7,4,12,6,9,5,8,4,7,6,13,5,11,5,11,6,15,3,1
26,6,19,5,7,5,12,13,4,3,11,8,5,6,11,5,4,7,7,8,7,0,5,6,6,14,15,3,8,4,10,8,4,13,14,9,2
27,3,16,2,8,4,6,9,4,10,9,9,3,12,14,6,6,6,10,14,18,11,11,7,1,9,2,7,7,7,12,13,5,7,13,1,8
28,6,6,6,6,12,9,18,2,2,10,8,8,13,10,10,6,5,6,13,8,15,6,10,4,10,10,4,13,4,18,7,5,10,16,5,6
29,14,12,9,4,12,10,15,3,9,7,11,9,18,11,9,4,12,2,21,12,22,12,14,2,11,2,7,6,4,20,14,10,15,14,6,4
30,6,11,7,5,15,8,16,1,9,11,10,10,13,17,11,2,18,5,16,10,10,15,17,5,7,4,8,13,8,11,20,6,12,17,3,8
31,6,15,2,3,5,6,6,3,2,16,2,10,11,12,7,7,6,10,4,13,5,8,7,5,4,3,3,14,5,3,10,9,9,11,4,6
32,6,9,5,7,4,13,9,2,3,16,7,8,11,23,6,2,4,6,2,17,6,13,9,3,5,6,9,13,6,13,6,4,9,20,1,4
33,7,19,6,5,8,8,15,3,5,3,7,6,9,12,8,5,2,5,11,19,8,10,9,10,2,5,3,20,3,19,12,18,10,18,5,7
34,6,13,4,10,2,11,17,8,6,13,9,9,16,21,13,6,12,7,20,13,9,15,12,2,7,5,5,9,6,18,15,5,5,16,3,7
35,10,12,12,8,13,4,19,7,7,14,6,4,15,13,9,4,12,7,13,20,10,12,12,3,11,7,17,12,4,13,6,12,5,13,3,7
