name,x,y,z
Tgfb1,9.316888,8.825033,1
Tgfb1,8.885253,8.811683,1
Tgfb1,9.086286,8.482350,1
Tgfb1,8.691674,6.059648,1
Tgfb1,10.363826,8.023956,1
Tgfbr1,10.163176,6.566074,1
Tgfbr1,9.363247,5.678584,1
Tgfbr1,6.430336,6.562796,1
Tgfbr1,9.569021,7.318325,1
Tgfbr1,9.685981,6.181253,1
Tgfbr2,8.703182,5.584239,1
Tgfbr2,7.272188,8.686133,1
Wnt5a,7.100515,6.207580,1
Fzd1,9.912732,6.253928,1
Fzd1,7.952329,5.519956,1
Fzd1,9.320967,9.734086,1
Fzd1,9.922878,8.392808,1
Fzd1,9.808977,8.649344,1
Fzd1,7.849230,8.139593,1
Fzd1,7.184153,6.153144,1
Ror2,9.228165,9.418380,1
Ror2,8.719292,8.488696,1
Ror2,9.418489,9.139100,1
Ror2,8.671609,5.983315,1
Cxcl12,8.994849,6.083505,1
Cxcl12,9.016156,5.560152,1
Cxcl12,7.667000,8.283994,1
Cxcl12,9.520284,9.053314,1
Cxcl12,7.413535,7.436504,1
Cxcl12,10.005824,6.211989,1
Cxcl12,8.332374,8.764110,1
Cxcl12,8.673652,9.111516,1
Cxcr4,9.420946,6.314708,1
Cxcr4,9.788086,8.371445,1
Cxcr4,9.583682,8.507439,1
Vegfa,6.838560,8.773297,1
Kdr,6.314872,7.068446,1
Kdr,10.356883,7.928676,1
Kdr,9.603426,7.902256,1
Flt1,9.737253,6.418046,1
Flt1,9.108325,9.138032,1
Flt1,7.964185,5.541183,1
Flt1,8.114454,7.454360,1
Pdgfb,7.458089,7.724761,1
Pdgfb,10.045223,8.246808,1
Pdgfrb,8.426594,7.294574,1
Pdgfrb,8.756462,5.841753,1
Pdgfrb,8.367547,6.590693,1
Pdgfrb,7.731769,8.214125,1
Pdgfrb,8.441264,8.979692,1
Pdgfrb,7.948686,8.591129,1
Pdgfrb,9.169867,9.737430,1
Pdgfrb,8.637384,6.409840,1
Pdgfrb,9.412374,7.361586,1
Pdgfrb,6.632508,8.864053,1
Hgf,7.315188,8.112518,1
Hgf,7.255431,8.914088,1
Hgf,7.294665,6.720758,1
Hgf,7.285176,8.215104,1
Hgf,7.307337,7.486861,1
Hgf,9.685571,6.259542,1
Hgf,6.680749,8.780478,1
Hgf,9.695730,7.782126,1
Met,6.893430,8.297938,1
Met,8.335507,5.476907,1
Met,7.365322,8.650993,1
Met,7.420477,6.946194,1
Met,9.769554,9.464787,1
Met,9.172299,5.636825,1
Met,8.414736,8.022365,1
Il6,6.311127,8.572612,1
Il6,8.859256,8.321611,1
Il6ra,10.170694,8.563672,1
Il6ra,8.780676,5.862549,1
Il6ra,10.192184,8.362875,1
Il6ra,7.490741,8.011622,1
Il6ra,7.900050,9.278959,1
Il6ra,7.271706,9.700943,1
Il6ra,6.974439,7.943786,1
Efnb1,7.496252,6.087697,1
Efnb1,10.153514,7.750675,1
Efnb1,8.408297,9.124303,1
Efnb1,7.890515,6.077868,1
Ephb2,7.718018,8.411269,1
Ephb2,7.060481,7.678530,1
Ephb2,9.782563,6.852573,1
Ephb2,9.305533,6.656209,1
Ephb2,8.607923,7.241932,1
Ephb2,8.162827,8.334118,1
Spp1,10.504550,8.156598,1
Spp1,7.979349,5.952210,1
Spp1,6.661641,7.372815,1
Spp1,7.013602,6.130401,1
Spp1,6.728579,6.590434,1
Cd44,7.915817,9.942830,1
Cd44,9.748251,8.006436,1
Cd44,9.070953,7.066448,1
Cd44,9.226517,8.796741,1
Cd44,6.363040,8.687406,1
Cd44,9.156689,6.386363,1
Cd44,10.161660,7.413053,1
Cd44,9.149569,6.913391,1
Cd44,7.959726,7.750426,1
Cd44,10.273165,7.830310,1
Cd44,9.600900,8.869635,1
Ccl2,8.216637,7.335502,1
Ccl2,6.557272,8.322429,1
Ccl2,9.316934,6.923240,1
Ccl2,10.429635,7.383757,1
Ccl2,7.515662,6.560294,1
Ccl2,7.853067,5.716357,1
Ccr2,7.603718,9.877365,1
Ccr2,9.692719,6.856745,1
Ccr2,8.071885,6.090039,1
Ccr2,8.496272,5.646205,1
Ccr2,8.990535,7.816713,1
Ccr2,7.219780,9.600229,1
Ccr2,6.622514,9.009569,1
Bmp4,7.157180,8.010799,1
Bmp4,9.744238,6.721177,1
Bmp4,8.044782,8.093848,1
Bmp4,9.008560,8.271573,1
Bmp4,7.174989,9.062515,1
Bmp4,8.145962,8.271140,1
Bmp4,8.217437,9.180213,1
Bmpr2,9.786801,7.653410,1
Bmpr2,9.831551,8.650692,1
Bmpr2,10.130487,6.740888,1
Bmpr2,9.490624,5.833327,1
Bmpr2,6.860050,5.995713,1
Bmpr2,10.399497,8.157297,1
Fgf2,9.718554,6.008328,1
Fgf2,6.340680,8.000905,1
Fgfr1,8.954788,9.396127,1
Fgfr1,7.238358,9.094555,1
Egf,7.745376,6.519289,1
Egf,8.626778,8.992371,1
Egf,7.384082,6.108280,1
Egf,8.309005,6.909973,1
Egf,9.145931,5.997344,1
Egf,9.655290,7.975715,1
Egfr,7.008659,8.008526,1
Jag1,9.124771,8.424232,1
Jag1,9.043519,7.830438,1
Jag1,8.141477,9.785164,1
Jag1,6.882743,7.474616,1
Jag1,7.470180,6.288611,1
Jag1,9.085282,8.517458,1
Jag1,8.658021,9.469877,1
Jag1,6.969453,8.063406,1
Jag1,6.239930,6.937503,1
Dll4,7.705370,9.241685,1
Dll4,6.430195,7.961501,1
Dll4,8.111962,5.783386,1
Dll4,8.813524,9.186568,1
Dll4,8.883631,6.412248,1
Dll4,9.729285,7.586525,1
Dll4,6.776629,7.746201,1
Dll4,6.428506,8.575322,1
Dll4,9.320412,9.151291,1
Dll4,6.801129,6.290853,1
Dll4,6.617989,6.302048,1
Dll4,9.292173,6.750299,1
Dll4,9.780984,5.995376,1
Dll4,8.272571,9.509502,1
Dll4,7.987169,9.531385,1
Notch1,9.985084,8.811745,1
Notch1,6.817003,8.569997,1
Notch1,10.237315,8.031938,1
Notch1,6.543831,7.768671,1
Apoe,8.002870,8.523895,1
Apoe,6.309788,8.600906,1
Apoe,8.615138,9.586753,1
Apoe,10.198958,8.320734,1
Apoe,8.465067,9.257270,1
Apoe,7.834967,8.291028,1
Apoe,7.587940,8.840626,1
Lrp1,6.117794,7.410558,1
Lrp1,6.203056,8.133041,1
Lrp1,7.624480,7.902656,1
Lrp1,8.535176,9.173110,1
Lrp1,7.381960,9.618790,1
Lrp1,7.598803,6.154257,1
Lrp1,6.912717,7.802556,1
Thbs1,7.737921,7.199460,1
Thbs1,9.011719,8.797850,1
Thbs1,9.248583,9.380500,1
Thbs1,9.258535,7.865091,1
Cd47,10.224928,6.409658,1
Cd47,6.747092,7.848585,1
Cd47,8.417205,7.292290,1
Cd47,7.704833,8.043240,1
Tgfb1,14.139747,8.443752,1
Tgfb1,16.101032,4.725708,1
Tgfb1,16.001571,5.229149,1
Tgfb1,16.098363,5.153430,1
Tgfbr1,14.799468,7.361300,1
Tgfbr1,14.853458,6.922467,1
Tgfbr1,15.145595,7.150326,1
Tgfbr1,14.972542,6.606351,1
Tgfbr2,15.594898,8.684596,1
Tgfbr2,17.260507,9.055000,1
Tgfbr2,14.719669,7.534424,1
Tgfbr2,18.184812,7.471216,1
Wnt5a,14.972882,5.988817,1
Wnt5a,16.104749,9.117357,1
Wnt5a,17.423375,6.583903,1
Fzd1,16.565183,7.661044,1
Fzd1,18.087654,7.156254,1
Fzd1,18.390111,6.799546,1
