edge,interaction_class,score_tier,score_percentile,demo_review_flag
10|10,autocrine,low,22.8,reviewed
10|11,paracrine,mid,39.0,unreviewed
10|15,paracrine,low,32.8,unreviewed
10|16,paracrine,mid,35.2,reviewed
10|17,paracrine,mid,51.6,unreviewed
10|3,paracrine,low,20.8,reviewed
10|4,paracrine,low,29.6,unreviewed
10|5,paracrine,low,32.4,unreviewed
10|9,paracrine,low,11.0,unreviewed
11|10,paracrine,mid,49.6,unreviewed
11|11,autocrine,high,68.0,unreviewed
11|12,paracrine,high,68.4,unreviewed
11|16,paracrine,mid,60.0,unreviewed
11|17,paracrine,high,84.8,unreviewed
11|18,paracrine,high,75.6,unreviewed
11|5,paracrine,mid,54.8,unreviewed
11|6,paracrine,mid,56.0,unreviewed
12|11,paracrine,mid,52.8,reviewed
12|12,autocrine,mid,50.4,unreviewed
12|17,paracrine,mid,65.2,unreviewed
12|18,paracrine,mid,57.6,reviewed
12|5,paracrine,mid,39.6,reviewed
12|6,paracrine,mid,40.0,reviewed
13|13,autocrine,low,10.4,unreviewed
13|14,paracrine,low,19.6,reviewed
13|19,paracrine,low,6.8,reviewed
13|20,paracrine,low,26.8,unreviewed
13|7,paracrine,low,11.0,reviewed
13|8,paracrine,low,15.6,reviewed
14|13,paracrine,low,8.8,unreviewed
14|14,autocrine,low,13.2,unreviewed
14|15,paracrine,mid,41.2,unreviewed
14|19,paracrine,low,6.4,unreviewed
14|20,paracrine,low,25.6,unreviewed
14|21,paracrine,mid,36.8,unreviewed
14|7,paracrine,low,9.4,unreviewed
14|8,paracrine,low,11.6,unreviewed
14|9,paracrine,low,16.4,unreviewed
15|10,paracrine,mid,43.2,unreviewed
15|14,paracrine,low,31.6,reviewed
15|15,autocrine,mid,53.6,unreviewed
15|16,paracrine,mid,56.4,reviewed
15|20,paracrine,mid,47.2,unreviewed
15|21,paracrine,mid,58.8,unreviewed
15|22,paracrine,mid,62.4,unreviewed
15|8,paracrine,low,29.2,reviewed
15|9,paracrine,low,28.4,unreviewed
16|10,paracrine,mid,48.8,unreviewed
16|11,paracrine,high,70.0,unreviewed
16|15,paracrine,mid,64.0,unreviewed
16|16,autocrine,mid,63.6,unreviewed
16|17,paracrine,high,82.0,reviewed
16|21,paracrine,mid,65.6,unreviewed
16|22,paracrine,high,66.8,reviewed
16|23,paracrine,high,77.6,unreviewed
16|9,paracrine,mid,36.0,reviewed
17|10,paracrine,mid,55.2,reviewed
17|11,paracrine,high,79.2,unreviewed
17|12,paracrine,high,73.6,reviewed
17|16,paracrine,high,68.8,reviewed
17|17,autocrine,high,92.8,reviewed
17|18,paracrine,high,82.4,reviewed
17|22,paracrine,high,75.2,unreviewed
17|23,paracrine,high,84.0,reviewed
17|24,paracrine,high,87.2,unreviewed
18|11,paracrine,high,76.4,reviewed
18|12,paracrine,high,71.6,unreviewed
18|17,paracrine,high,92.0,reviewed
18|18,autocrine,high,83.2,unreviewed
18|23,paracrine,high,80.8,unreviewed
18|24,paracrine,high,86.8,unreviewed
19|13,paracrine,low,16.8,unreviewed
19|14,paracrine,low,24.8,unreviewed
19|19,autocrine,low,18.4,unreviewed
19|20,paracrine,mid,38.4,unreviewed
19|25,paracrine,mid,34.0,reviewed
19|26,paracrine,low,28.8,reviewed
1|1,autocrine,low,4.4,unreviewed
1|2,paracrine,low,3.2,unreviewed
1|7,paracrine,low,2.4,reviewed
1|8,paracrine,low,3.6,unreviewed
20|13,paracrine,low,14.0,unreviewed
20|14,paracrine,low,20.4,reviewed
20|15,paracrine,mid,51.2,reviewed
20|19,paracrine,low,13.6,unreviewed
20|20,autocrine,mid,34.4,unreviewed
20|21,paracrine,mid,45.8,unreviewed
20|25,paracrine,mid,34.8,reviewed
20|26,paracrine,low,21.6,unreviewed
20|27,paracrine,mid,46.8,reviewed
21|14,paracrine,low,30.2,unreviewed
21|15,paracrine,mid,54.4,unreviewed
21|16,paracrine,mid,54.0,unreviewed
21|20,paracrine,mid,47.6,reviewed
21|21,autocrine,mid,55.6,unreviewed
21|22,paracrine,mid,59.6,reviewed
21|26,paracrine,mid,40.8,reviewed
21|27,paracrine,mid,60.8,reviewed
21|28,paracrine,mid,64.8,unreviewed
22|15,paracrine,high,73.2,reviewed
22|16,paracrine,high,72.0,unreviewed
22|17,paracrine,high,96.0,unreviewed
22|21,paracrine,high,70.8,unreviewed
22|22,autocrine,high,79.6,reviewed
22|23,paracrine,high,88.4,unreviewed
22|27,paracrine,high,76.0,unreviewed
22|28,paracrine,high,81.6,unreviewed
22|29,paracrine,high,98.0,unreviewed
23|16,paracrine,high,71.2,reviewed
23|17,paracrine,high,93.6,reviewed
23|18,paracrine,high,85.6,unreviewed
23|22,paracrine,high,77.2,unreviewed
23|23,autocrine,high,85.2,reviewed
23|24,paracrine,high,89.2,unreviewed
23|28,paracrine,high,80.4,unreviewed
23|29,paracrine,high,96.4,reviewed
23|30,paracrine,high,86.4,unreviewed
24|17,paracrine,high,95.2,unreviewed
24|18,paracrine,high,88.8,reviewed
24|23,paracrine,high,90.0,unreviewed
24|24,autocrine,high,94.0,unreviewed
24|29,paracrine,high,98.8,reviewed
24|30,paracrine,high,90.8,unreviewed
25|19,paracrine,low,12.4,reviewed
25|20,paracrine,low,33.2,unreviewed
25|25,autocrine,low,27.2,unreviewed
25|26,paracrine,low,23.6,unreviewed
25|31,paracrine,low,25.2,unreviewed
25|32,paracrine,mid,33.6,unreviewed
26|19,paracrine,low,28.0,unreviewed
26|20,paracrine,mid,48.0,unreviewed
26|21,paracrine,mid,58.0,unreviewed
26|25,paracrine,mid,46.4,unreviewed
26|26,autocrine,mid,42.4,reviewed
26|27,paracrine,mid,62.8,unreviewed
26|31,paracrine,mid,44.2,unreviewed
26|32,paracrine,mid,50.0,reviewed
26|33,paracrine,mid,66.4,reviewed
27|20,paracrine,mid,49.2,unreviewed
27|21,paracrine,mid,56.8,unreviewed
27|22,paracrine,high,67.2,unreviewed
27|26,paracrine,mid,36.4,reviewed
27|27,autocrine,mid,61.2,unreviewed
27|28,paracrine,high,69.2,unreviewed
27|32,paracrine,mid,43.6,unreviewed
27|33,paracrine,mid,64.4,unreviewed
27|34,paracrine,high,74.8,unreviewed
28|21,paracrine,mid,57.2,reviewed
28|22,paracrine,mid,62.0,unreviewed
28|23,paracrine,high,70.4,reviewed
28|27,paracrine,mid,59.2,unreviewed
28|28,autocrine,mid,63.2,unreviewed
28|29,paracrine,high,83.6,unreviewed
28|33,paracrine,mid,66.0,unreviewed
28|34,paracrine,high,69.6,unreviewed
28|35,paracrine,high,74.4,reviewed
29|22,paracrine,high,78.8,reviewed
29|23,paracrine,high,87.6,reviewed
29|24,paracrine,high,93.2,reviewed
29|28,paracrine,high,81.2,reviewed
29|29,autocrine,high,97.6,unreviewed
29|30,paracrine,high,88.0,unreviewed
29|34,paracrine,high,91.2,unreviewed
29|35,paracrine,high,92.4,unreviewed
2|1,paracrine,low,1.6,unreviewed
2|2,autocrine,low,0.8,unreviewed
2|3,paracrine,low,5.2,unreviewed
2|7,paracrine,low,0.4,unreviewed
2|8,paracrine,low,1.2,unreviewed
2|9,paracrine,low,2.0,reviewed
30|23,paracrine,high,90.4,unreviewed
30|24,paracrine,high,94.8,reviewed
30|29,paracrine,high,97.2,unreviewed
30|30,autocrine,high,86.0,unreviewed
30|36,paracrine,high,99.6,unreviewed
31|25,paracrine,low,30.2,unreviewed
31|26,paracrine,low,27.6,unreviewed
31|31,autocrine,low,30.8,unreviewed
31|32,paracrine,mid,37.4,unreviewed
32|25,paracrine,mid,41.8,reviewed
32|26,paracrine,low,24.4,reviewed
32|27,paracrine,mid,53.2,reviewed
32|31,paracrine,mid,38.0,reviewed
32|32,autocrine,mid,44.8,unreviewed
32|33,paracrine,mid,58.4,reviewed
33|26,paracrine,mid,45.8,unreviewed
33|27,paracrine,high,67.6,unreviewed
33|28,paracrine,high,72.6,reviewed
33|32,paracrine,mid,52.4,unreviewed
33|33,autocrine,high,74.0,unreviewed
