edge,interaction_class,score_tier,score_percentile,demo_review_flag
s_016um_00051_00109-1|s_016um_00051_00109-1,autocrine,low,49.89,unreviewed
s_016um_00051_00109-1|s_016um_00052_00107-1,paracrine,low,49.89,unreviewed
s_016um_00051_00109-1|s_016um_00052_00108-1,paracrine,low,49.89,unreviewed
s_016um_00051_00109-1|s_016um_00052_00109-1,paracrine,low,49.89,unreviewed
s_016um_00051_00109-1|s_016um_00052_00110-1,paracrine,low,49.89,unreviewed
s_016um_00051_00109-1|s_016um_00053_00108-1,paracrine,low,49.89,reviewed
s_016um_00051_00109-1|s_016um_00053_00109-1,paracrine,low,49.89,unreviewed
s_016um_00051_00109-1|s_016um_00053_00110-1,paracrine,low,49.89,unreviewed
s_016um_00052_00102-1|s_016um_00052_00102-1,autocrine,low,49.89,unreviewed
s_016um_00052_00102-1|s_016um_00053_00100-1,paracrine,low,49.89,unreviewed
s_016um_00052_00102-1|s_016um_00053_00101-1,paracrine,low,49.89,unreviewed
s_016um_00052_00102-1|s_016um_00053_00102-1,paracrine,low,49.89,reviewed
s_016um_00052_00102-1|s_016um_00054_00101-1,paracrine,low,49.89,reviewed
s_016um_00052_00102-1|s_016um_00054_00102-1,paracrine,low,49.89,reviewed
s_016um_00052_00102-1|s_016um_00054_00103-1,paracrine,low,49.89,reviewed
s_016um_00052_00105-1|s_016um_00052_00105-1,autocrine,low,49.89,reviewed
s_016um_00052_00105-1|s_016um_00052_00106-1,paracrine,low,49.89,unreviewed
s_016um_00052_00105-1|s_016um_00052_00107-1,paracrine,low,49.89,unreviewed
s_016um_00052_00105-1|s_016um_00053_00105-1,paracrine,low,49.89,unreviewed
s_016um_00052_00105-1|s_016um_00053_00106-1,paracrine,low,49.89,unreviewed
s_016um_00052_00105-1|s_016um_00053_00107-1,paracrine,low,49.89,unreviewed
s_016um_00052_00105-1|s_016um_00054_00104-1,paracrine,low,49.89,unreviewed
s_016um_00052_00105-1|s_016um_00054_00105-1,paracrine,low,49.89,reviewed
s_016um_00052_00105-1|s_016um_00054_00106-1,paracrine,low,49.89,unreviewed
s_016um_00052_00106-1|s_016um_00052_00105-1,paracrine,low,49.89,unreviewed
s_016um_00052_00106-1|s_016um_00052_00106-1,autocrine,low,49.89,reviewed
s_016um_00052_00106-1|s_016um_00052_00107-1,paracrine,low,49.89,unreviewed
s_016um_00052_00106-1|s_016um_00052_00108-1,paracrine,low,49.89,reviewed
s_016um_00052_00106-1|s_016um_00053_00105-1,paracrine,low,49.89,reviewed
s_016um_00052_00106-1|s_016um_00053_00106-1,paracrine,low,49.89,unreviewed
s_016um_00052_00106-1|s_016um_00053_00107-1,paracrine,low,49.89,unreviewed
s_016um_00052_00106-1|s_016um_00053_00108-1,paracrine,low,49.89,unreviewed
s_016um_00052_00106-1|s_016um_00054_00105-1,paracrine,low,49.89,unreviewed
s_016um_00052_00106-1|s_016um_00054_00106-1,paracrine,low,49.89,unreviewed
s_016um_00052_00106-1|s_016um_00054_00107-1,paracrine,low,49.89,unreviewed
s_016um_00052_00107-1|s_016um_00051_00109-1,paracrine,low,49.89,unreviewed
s_016um_00052_00107-1|s_016um_00052_00105-1,paracrine,low,49.89,unreviewed
s_016um_00052_00107-1|s_016um_00052_00106-1,paracrine,low,49.89,unreviewed
s_016um_00052_00107-1|s_016um_00052_00107-1,autocrine,low,49.89,unreviewed
s_016um_00052_00107-1|s_016um_00052_00108-1,paracrine,low,49.89,reviewed
s_016um_00052_00107-1|s_016um_00052_00109-1,paracrine,low,49.89,unreviewed
s_016um_00052_00107-1|s_016um_00053_00105-1,paracrine,low,49.89,reviewed
s_016um_00052_00107-1|s_016um_00053_00106-1,paracrine,low,49.89,unreviewed
s_016um_00052_00107-1|s_016um_00053_00107-1,paracrine,low,49.89,unreviewed
s_016um_00052_00107-1|s_016um_00053_00108-1,paracrine,low,49.89,unreviewed
s_016um_00052_00107-1|s_016um_00053_00109-1,paracrine,low,49.89,unreviewed
s_016um_00052_00107-1|s_016um_00054_00106-1,paracrine,low,49.89,unreviewed
s_016um_00052_00107-1|s_016um_00054_00107-1,paracrine,low,49.89,unreviewed
s_016um_00052_00107-1|s_016um_00054_00108-1,paracrine,low,49.89,reviewed
s_016um_00052_00108-1|s_016um_00051_00109-1,paracrine,low,49.89,unreviewed
s_016um_00052_00108-1|s_016um_00052_00106-1,paracrine,low,49.89,unreviewed
s_016um_00052_00108-1|s_016um_00052_00107-1,paracrine,low,49.89,unreviewed
s_016um_00052_00108-1|s_016um_00052_00108-1,autocrine,low,49.89,unreviewed
s_016um_00052_00108-1|s_016um_00052_00109-1,paracrine,low,49.89,reviewed
s_016um_00052_00108-1|s_016um_00052_00110-1,paracrine,low,49.89,reviewed
s_016um_00052_00108-1|s_016um_00053_00106-1,paracrine,low,49.89,unreviewed
s_016um_00052_00108-1|s_016um_00053_00107-1,paracrine,low,49.89,reviewed
s_016um_00052_00108-1|s_016um_00053_00108-1,paracrine,low,49.89,reviewed
s_016um_00052_00108-1|s_016um_00053_00109-1,paracrine,low,49.89,reviewed
s_016um_00052_00108-1|s_016um_00053_00110-1,paracrine,low,49.89,reviewed
s_016um_00052_00108-1|s_016um_00054_00107-1,paracrine,low,49.89,unreviewed
s_016um_00052_00108-1|s_016um_00054_00108-1,paracrine,low,49.89,reviewed
